,,,,,,,,
Sl. no.,Date,Adaptation Clinic Name,Village,Union,Problems Found (if any),Advice/ solution given,Point of Service,"Remarks 
(Next Follow up) "
1010,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
1011,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
1012,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
1013,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
1014,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
1015,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
1016,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
1017,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
1018,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
1019,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
1020,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
1021,05.05.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,15.05.2025
1022,05.05.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,15.05.2025
1023,07.05.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,17.05.2025
1024,08.05.2025,Nilganj Adaptation Clinic,Hajipur,Nilganj,Leaf Curl of Chilli,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid,Adaptation clinic,18.05.2025
1025,08.05.2026,Nilganj Adaptation Clinic,Syedpur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,18.05.2025
1026,12.05.2025,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,22.05.2025
1027,12.05.2025,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,22.05.2025
1028,13.05.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,23.05.2025
1029,13.05.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Vegetable cultivation,Watering the seedling regularly,Adaptation clinic,23.05.2025
1030,14..5.2025,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Vegetable cultivation,Watering the seedling regularly,Adaptation clinic,24.05.2025
1031,18.05.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Vegetable cultivation,Spray Solubor Boron @ 1.5 gm/l and watering regularly,Adaptation clinic,28.05.2025
1032,20.05.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Vegetable cultivation,Use yellow sticky trap and supply irrigation,Adaptation clinic,30.05.2025
1033,20.05.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Vegetable cultivation,Use yellow sticky trap and supply irrigation,Adaptation clinic,20.05.2025
1034,22.05.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Vegetable Cultivation,"Use yellow sticky trap,supply irrigation and make trellis",Adaptation clinic,02.06.2025
1035,22.05.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Vegetable Cultivation,Suggested to make trellis as early as possible,Adaptation Clinic,02.06.2025
1036,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,15.06.2023
1037,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,15.06.2023
1038,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,15.06.2023
1039,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,15.06.2023
1040,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,15.06.2023
1041,03.06.2025,Nilganj Adaptation Clinic,Motafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,15.06.2023
1042,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,15.06.2023
1043,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,15.06.2023
1044,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,15.06.2023
1045,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,15.06.2023
1046,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,15.06.2023
1047,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,16.06.25
1048,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,16.06.25
1049,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,16.06.25
1050,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,16.06.25
1051,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,16.06.25
1052,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,16.06.25
1053,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,16.06.25
1054,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,16.06.25
1055,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,16.06.25
1056,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,16.06.25
1057,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,16.06.25
1058,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,16.06.25
1059,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,16.06.25
1060,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,16.06.25
1061,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,16.06.25
1062,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,16.06.25
1063,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,17.06.2025
1064,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,17.06.2025
1065,03.06.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,"Land preparation, Soil and Seed treatment of Kharif 2 SeaSon","SuggeSted to follow mada, raiSe bed method and apply Trichoderma 2kg/ bigha for Soil treatment",Mobile Adaptation Clinic,17.06.2025
1066,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Leaf Curl of Bitter gourd,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,25.06.2025
1067,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Fruit fly attack on Bitter gourd,Suggested to use Pheromone Trap and if attack is severe apply Cypermethrin 1ml/ liter,Mobile Adaptation Clinic,25.06.2025
1068,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,25.06.2025
1069,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Leaf Curl of Bitter gourd,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,25.06.2025
1070,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,25.06.2025
1071,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Fruit fly attack on Bitter gourd,Suggested to use Pheromone Trap and if attack is severe apply Cypermethrin 1ml/ liter,Mobile Adaptation Clinic,24.06.2025
1072,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Fruit fly attack on Bitter gourd,Suggested to use Pheromone Trap and if attack is severe apply Cypermethrin 1ml/ liter,Mobile Adaptation Clinic,25.06.2025
1073,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Leaf Curl of Bitter gourd,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,24.06.2025
1074,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,24.06.2025
1075,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Leaf Curl of Bitter gourd,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,24.06.2025
1076,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Leaf Curl of Bitter gourd,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,24.06.2025
1077,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,24.06.2025
1078,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Fruit fly attack on Bitter gourd,Suggested to use Pheromone Trap and if attack is severe apply Cypermethrin 1ml/ liter,Mobile Adaptation Clinic,24.06.2025
1079,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Leaf Curl of Bitter gourd,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,24.06.2025
1080,16.06.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Fruit fly attack on Bitter gourd,Suggested to use Pheromone Trap and if attack is severe apply Cypermethrin 1ml/ liter,Mobile Adaptation Clinic,24.06.2025
1081,17.06.2025,Nilganj Adaptation Clinic,Kholilpur,Nilganj,Leaf Curl of Bitter gourd,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Adaptation Clinic,22.06.2025
1082,17.06.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Leaf Curl of Bitter gourd,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,29.06.2025
1083,17.06.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Fruit fly attack on Bitter gourd,Suggested to use Pheromone Trap 12 pcs/ bigha. and if attack is severe apply Cypermethrin 1ml/ liter.,Mobile Adaptation Clinic,29.06.2025
1084,17.06.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,29.06.2025
1085,17.06.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Leaf Curl of Bitter gourd,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,29.06.2025
1086,17.06.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,29.06.2025
1087,17.06.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Fruit fly attack on Bitter gourd,Suggested to use Pheromone Trap 12 pcs/ bigha. and if attack is severe apply Cypermethrin 1ml/ liter.,Mobile Adaptation Clinic,29.06.2025
1088,17.06.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,29.06.2025
1089,17.06.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Fruit fly attack on Bitter gourd,Suggested to use Pheromone Trap 12 pcs/ bigha. and if attack is severe apply Cypermethrin 1ml/ liter.,Mobile Adaptation Clinic,30.06.2025
1090,17.06.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,30.06.2025
1091,17.06.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Fruit fly attack on Bitter gourd,Suggested to use Pheromone Trap 12 pcs/ bigha. and if attack is severe apply Cypermethrin 1ml/ liter.,Mobile Adaptation Clinic,30.06.2025
1092,17.06.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Fruit fly attack on Bitter gourd,Suggested to use Pheromone Trap 12 pcs/ bigha. and if attack is severe apply Cypermethrin 1ml/ liter.,Mobile Adaptation Clinic,30.06.2025
1093,17.06.2025,Nilganj Adaptation Clinic,Rosnabad,Nilganj,,,Mobile Adaptation Clinic,30.06.2025
1094,17.06.2025,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Fruit fly attack on Bitter gourd,Suggested to use Pheromone Trap 12 pcs/ bigha. and if attack is severe apply Cypermethrin 1ml/ liter.,Mobile Adaptation Clinic,30.06.2025
1095,17.06.2025,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,30.06.2025
1096,17.06.2025,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,30.06.2025
1097,17.06.2025,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Leaf Curl of Bitter gourd,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid 1ml/liter,Mobile Adaptation Clinic,30.06.2025
1098,17.06.2025,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Root rot of Bitter gourd,Suggested to apply Dry as h aaaaaaaaand s pray copperoxychloride group of fungicide 1ml/liter,Mobile Adaptation Clinic,30.06.2025
1099,17.06.2025,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Fruit fly attack on Bitter gourd,Suggested to use Pheromone Trap 12 pcs/ bigha. and if attack is severe apply Cypermethrin 1ml/ liter.,Mobile Adaptation Clinic,30.06.2025
